FID,COUNT,MEAN,STD
0,1545769.000000000000000,6103.138389371255471,2642.338101013911910
1,660707.000000000000000,7634.202750992469191,2048.451715544734725
2,444411.000000000000000,7229.850809273483719,1384.127514510775654
3,1234670.000000000000000,3672.519913013239602,1691.377268514601610
4,1665317.000000000000000,5158.035896469062209,2427.421106263638649
5,1639589.000000000000000,6126.346727137150083,1370.663187171413711
6,523101.000000000000000,2335.947562707781344,1492.800373176335370
7,390067.000000000000000,4327.940953733634160,1920.616614447650818
8,603815.000000000000000,8002.007740781612483,1578.418227726808936
9,88075.000000000000000,7220.656122622762268,2770.527817531307846
10,1036938.000000000000000,7568.236680495879227,2354.160298697106555
11,11448264.000000000000000,7391.070612976642224,1691.998684255132275
12,848064.000000000000000,7676.476716379860591,2333.294670357378891
13,3130909.000000000000000,7187.872233271575169,1825.676635341539395
14,1370964.000000000000000,5944.768810851232047,3001.994216457183029
15,951474.000000000000000,3564.464059974317934,2066.230226082408080
16,9744421.000000000000000,2333.307668562358231,1436.295770499601758
17,852013.000000000000000,5074.285326632251781,3215.149329223695077
18,358775.000000000000000,7340.989631384622044,1839.667375940334750
19,2183920.000000000000000,3361.777967599478870,2678.572200102659735
20,2844919.000000000000000,6308.025047110377272,1594.617317724188524
21,787881.000000000000000,1942.777394048076076,2191.651485877532650
22,27548035.000000000000000,6394.852894626085799,2608.299571835395000
23,528193.000000000000000,3271.831608900531137,3251.140070652230861
24,16916833.000000000000000,5523.721925079032189,3275.783151633996567
25,1391110.000000000000000,3706.690076988693818,3156.149499664082668
26,386253.000000000000000,5661.348465901840427,2527.025141497378172
27,2426826.000000000000000,5882.598462353680588,3194.789995151787934
28,15440454.000000000000000,4651.864624123450085,3314.158776228420720
29,2176689.000000000000000,3886.097913390287431,3184.376710688134153
30,3681082.000000000000000,4508.086093436452757,2025.420816670096656
31,170663.000000000000000,2953.056280506023086,1305.097597476241162
