FID,COUNT,MEAN,STD
0,1582779.000000000000000,6314.314178416507275,2632.599987414382213
1,664872.000000000000000,7816.379650519167626,1996.238736786433719
2,445560.000000000000000,6815.728472035109007,1475.068020073391835
3,1237771.000000000000000,3756.671006995647076,1728.950410225291989
4,1669467.000000000000000,5263.207557861271198,2428.436852609222115
5,1642170.000000000000000,5089.874977011987539,1609.695502132807405
6,520785.000000000000000,2422.046130360912230,1635.246248292304244
7,390066.000000000000000,4049.997992647427964,1779.739960911725802
8,604221.000000000000000,8043.435719711852471,1382.925615866756971
9,88769.000000000000000,7294.583491984773900,2732.091614219323674
10,1039780.000000000000000,7638.601730173792021,2078.366692008331029
11,11577452.000000000000000,7598.808806722043300,1501.228991060822864
12,848447.000000000000000,8567.129531956272331,1369.260724116385745
13,3131714.000000000000000,7505.574740860809470,1413.994910557022649
14,1378052.000000000000000,7187.022891008446095,1956.929867638795258
15,951596.000000000000000,3919.154856682878744,2125.968361639499562
16,9726731.000000000000000,2269.694135162027578,1370.751118746221209
17,871464.000000000000000,6978.489025364278859,2643.377141174515145
18,359359.000000000000000,7995.432258549432845,1450.028986837576213
19,2190707.000000000000000,3480.316956580627448,2814.376596407332272
20,2845713.000000000000000,6764.264719246156346,1694.884637594500873
21,779005.000000000000000,1554.394342783422871,1825.980516002242894
22,27645094.000000000000000,7172.340096872256254,2176.012342665575943
23,525715.000000000000000,3870.190251371934210,3470.853328325928942
24,16830594.000000000000000,5909.911262787395572,3344.787386449513178
25,1374129.000000000000000,5340.228872252740985,3471.158151847752379
26,388265.000000000000000,6727.017325795509350,2501.306794143219122
27,2452803.000000000000000,6653.584595664789958,2970.889883875810028
28,15465931.000000000000000,6316.818769138271819,3022.742751136847801
29,2209099.000000000000000,3914.845339208453879,3467.242473371613414
30,3688771.000000000000000,6096.153246162592950,1942.873694583302040
31,171452.000000000000000,4893.179350488732780,1870.076338566818549
