FID,COUNT,MEAN,STD
0,1526464.000000000000000,5301.892325007172985,3046.734078441197653
1,664675.000000000000000,7689.396065746475870,1995.654848877985842
2,445467.000000000000000,6790.990284353281822,1455.781891758855409
3,1237077.000000000000000,3605.898493788180986,1833.444607914960898
4,1669481.000000000000000,4977.668634743280563,2455.821286033998604
5,1642279.000000000000000,5085.127140394548405,1280.388807554546929
6,529942.000000000000000,2107.549648829489342,1446.927085816437739
7,390073.000000000000000,3947.241036934144176,1630.192864451707010
8,603549.000000000000000,7803.500595643379711,1282.693826208876317
9,89504.000000000000000,7804.327884787214316,2328.064256000098339
10,1040652.000000000000000,8165.608016897245761,1337.327913006930430
11,11566969.000000000000000,7340.043612721716272,1371.271562164509078
12,848359.000000000000000,8501.261936279142901,1083.695542286612636
13,3130246.000000000000000,7382.808087926605367,1397.801441532460558
14,1378319.000000000000000,7145.699501349230559,2357.019021586228519
15,951838.000000000000000,4223.396431955819935,2066.806604782094382
16,9730145.000000000000000,2223.404158828113395,1261.658373141460288
17,871671.000000000000000,7182.682833316747747,2427.489294594668991
18,357737.000000000000000,7114.587627223274467,2114.096230073656898
19,2202022.000000000000000,4587.671278034301395,2678.483227081726454
20,2842229.000000000000000,6256.742990448581622,2150.972028553002474
21,790540.000000000000000,1963.707741543768179,1874.684496818842035
22,27616645.000000000000000,7137.778096470550736,2331.821440693484874
23,542567.000000000000000,3652.508757443709783,3373.845792525555225
24,16952972.000000000000000,6806.616515263243855,3069.099381822020860
25,1393292.000000000000000,5312.658991797760791,3352.225449827756165
26,388529.000000000000000,6853.679491106274327,2273.068558165364720
27,2465324.000000000000000,7534.130746303334490,2496.170351568682690
28,15531773.000000000000000,6824.764378606090759,2754.211256880844758
29,2212775.000000000000000,4978.275904237932082,3341.589287228556259
30,3689186.000000000000000,5628.623487132566879,1904.829521855512667
31,171216.000000000000000,3866.686051537314142,1643.252662831727321
