FID,COUNT,MEAN,STD
0,1550470.000000000000000,6202.551103858934766,2679.303983569199772
1,659077.000000000000000,7923.051676814805433,2197.665518801114104
2,444364.000000000000000,7223.821923018071175,1471.192319329530847
3,1234810.000000000000000,3802.404654157288860,1815.838757453031121
4,1665611.000000000000000,5433.517152564443677,2597.550168561837836
5,1641439.000000000000000,4779.144422668113293,1314.208103946444226
6,527362.000000000000000,2321.806935274058105,1535.415156540067528
7,390076.000000000000000,3349.727168551782597,1352.170922422430976
8,604182.000000000000000,7100.749201399587946,1428.780477769648314
9,88331.000000000000000,7979.161925031978171,2141.989905620954232
10,1034935.000000000000000,7640.450776135663546,1813.423904050139754
11,11547242.000000000000000,7359.331150070591320,1456.653879236288276
12,848589.000000000000000,7860.770284554834689,1729.526947456502285
13,3133073.000000000000000,6759.032358645866225,1646.353137924692874
14,1376560.000000000000000,7625.954358691431480,1711.160645253261237
15,939021.000000000000000,4114.035980026011202,2053.364681156956522
16,9700476.000000000000000,2247.497214569744756,1294.141258009935200
17,867040.000000000000000,6344.358224533981229,2773.052300219174867
18,358601.000000000000000,7648.064447673104951,1686.743651351585186
19,2090446.000000000000000,3495.025021933114658,2802.881374460218012
20,2843097.000000000000000,4736.304479938531586,1678.093883981446197
21,783278.000000000000000,1479.209732687508449,1730.604062711530332
22,27746701.000000000000000,7486.184079037288029,1723.086190802672718
23,539386.000000000000000,3476.452983577629766,3418.088059513360804
24,16877489.000000000000000,6709.998232675226063,2983.739993873056846
25,1390609.000000000000000,4228.809370570581450,3472.710703070858472
26,385917.000000000000000,4032.068722030864592,3144.431759636021525
27,2458817.000000000000000,7753.444601611280632,2288.179756808819093
28,15624202.000000000000000,6881.892390856366546,2671.419468283367223
29,2149378.000000000000000,3805.866420424899843,3309.524915082506595
30,3682203.000000000000000,5385.305383488943335,2111.272392529713215
31,171589.000000000000000,4322.412235050117488,1793.633876874226416
