FID,COUNT,MEAN,STD
0,1474945.000000000000000,4409.032060856477074,3050.233373501807819
1,644905.000000000000000,7619.628982563441241,2203.504256733705461
2,445438.000000000000000,7481.887075193463716,1321.633500370258389
3,1232504.000000000000000,3547.548205117434009,1875.188075762348262
4,1665044.000000000000000,5288.923746759789537,2535.298777190176679
5,1641988.000000000000000,5366.026126865614970,1619.371051805040906
6,523636.000000000000000,2293.255337677307580,1516.985730739334258
7,390075.000000000000000,4086.174304941370792,1902.694518375814596
8,603346.000000000000000,8178.424162917997819,1344.336532741407382
9,88971.000000000000000,7488.279259534060657,2394.055104391847635
10,1031571.000000000000000,6375.164142846157119,3048.469584253911307
11,11529350.000000000000000,7761.148072701788806,1564.854300214334444
12,848351.000000000000000,8324.677662901423901,1416.839801398534291
13,3131988.000000000000000,7456.506869758125504,1570.015181921484555
14,1377543.000000000000000,6946.054840393269842,2122.972288905738878
15,946540.000000000000000,3140.531328839727394,2219.650523465888455
16,9674507.000000000000000,2256.405470583614260,1388.642385121486086
17,862229.000000000000000,5412.819639562196244,2997.105056998671444
18,358890.000000000000000,7495.315768062597272,1927.987504871246301
19,1944518.000000000000000,3039.946290546084128,2628.947754906401769
20,2846114.000000000000000,4869.099338958510998,2193.426501699385881
21,745886.000000000000000,2566.575642926651653,2626.349220956336467
22,27681600.000000000000000,7257.871557713275251,1963.151267411485605
23,434581.000000000000000,5613.638803813273626,3351.759896779703467
24,16888073.000000000000000,6689.887445832868252,3033.402359250373593
25,1380334.000000000000000,4546.357042570714839,3486.140340367300269
26,385879.000000000000000,5783.675789560976227,2810.836444234192186
27,2417554.000000000000000,6389.055464738190494,3286.124747592651147
28,15353819.000000000000000,6697.307793585646323,2907.332026336896433
29,2005587.000000000000000,3701.878545283834683,3384.216530280343250
30,3679222.000000000000000,5211.700464391672540,2357.298005911280143
31,171648.000000000000000,4307.899002609921808,2020.088614702418681
