FID,COUNT,MEAN,STD
0,1318072.000000000000000,4973.452828070116084,3066.132257541840772
1,662585.000000000000000,7681.749102379303622,2283.656655280769883
2,444883.000000000000000,6489.463106030143535,1537.348109834235629
3,1232008.000000000000000,3722.792933974484185,1783.301536219054924
4,1667710.000000000000000,5348.473103837020972,2515.355093842032602
5,1641495.000000000000000,5047.111592176649538,1611.595985632970496
6,525953.000000000000000,2336.147266010435942,1565.881492456877822
7,390073.000000000000000,4306.302074227134653,1719.733095869333965
8,604101.000000000000000,7635.243265612725736,1366.516360236861829
9,89797.000000000000000,6541.173725180065048,3287.374996763061517
10,1039580.000000000000000,7896.527330268051628,2012.821486813256797
11,11555197.000000000000000,7095.868167457364507,1634.097391127832452
12,848237.000000000000000,7695.509695992940578,2380.184178820640227
13,3130737.000000000000000,7155.347729623958912,2021.017760855504321
14,1363298.000000000000000,7173.005014310943807,2270.997635240225009
15,948927.000000000000000,3984.711450933540618,2237.599797128048976
16,9673783.000000000000000,2332.365384875823565,1335.160253192672826
17,870265.000000000000000,6058.812416907539045,2950.815062041544479
18,358394.000000000000000,7534.944189913895570,1848.991106593276527
19,2172331.000000000000000,3183.181135839781746,2646.734935437275908
20,2846921.000000000000000,6400.503038545753043,1975.616396069996199
21,786086.000000000000000,2405.091795299730165,2007.479486730060216
22,27716261.000000000000000,7385.950425708565490,1891.087131688152340
23,543126.000000000000000,4460.918700264821382,3259.399384988807014
24,16868535.000000000000000,5911.918434588260425,3286.512299752637318
25,1393309.000000000000000,5281.889141604588986,3315.609480545563201
26,388181.000000000000000,7183.355725808313764,2162.914377211836381
27,2460693.000000000000000,7335.186757551759001,2464.477176547207364
28,15584538.000000000000000,6925.229480078166489,2704.179186854982163
29,2222281.000000000000000,4035.609044490822725,3332.883899489467240
30,3684170.000000000000000,5425.704882782656568,2165.581512628767086
31,171642.000000000000000,4456.257699164593760,1966.221805843766788
