FID,COUNT,MEAN,STD
0,1466846.000000000000000,3593.847966316803650,3074.699113924922585
1,651833.000000000000000,6042.628151689219521,2993.461184029018568
2,445056.000000000000000,7110.203706949318985,1302.232801434465728
3,1234638.000000000000000,3461.297479099097472,1573.494190558404853
4,1666624.000000000000000,4904.926873727928069,2461.931212762726773
5,1640065.000000000000000,5827.177613082346397,1300.695468097251251
6,529183.000000000000000,2194.501121540184613,1460.888846340509190
7,390075.000000000000000,4204.647065307892262,2091.782999360553276
8,604403.000000000000000,7692.400987420573983,1585.900798198460734
9,89128.000000000000000,8148.031078897813131,1837.185285185475777
10,1036227.000000000000000,7758.944907824282382,1757.732582444012678
11,11558221.000000000000000,7005.049713273352609,1687.319325584403259
12,847300.000000000000000,8293.776539596301518,1543.899565473415123
13,3132018.000000000000000,7072.137666194677877,1803.240367548496124
14,1381138.000000000000000,8070.299290150173874,1261.155514272125174
15,939548.000000000000000,4165.390915631806820,2091.695613841872728
16,9647072.000000000000000,2339.356111781863092,1436.601735981750380
17,863594.000000000000000,6216.680917190234140,2814.961527349350945
18,357763.000000000000000,6826.517387208840773,2387.189719062440417
19,2098654.000000000000000,3185.443931205430545,2709.864535111782970
20,2837913.000000000000000,5423.942226911184662,2495.442285270270077
21,786663.000000000000000,1833.292206446718865,1833.431619262791855
22,27445097.000000000000000,6539.826900521024072,2518.650134473004982
23,543065.000000000000000,4944.493953762430465,3236.651263461306371
24,16846207.000000000000000,6109.097198675233813,3157.199503377088604
25,1375975.000000000000000,5376.095997383715257,3451.740025258638980
26,387698.000000000000000,6546.488124777507437,2410.650824444814589
27,2438544.000000000000000,5571.064228490499772,3375.072445442605385
28,15519516.000000000000000,5802.324189040519741,3115.993167660838026
29,2193396.000000000000000,4003.874565741967672,3398.153348066304716
30,3659588.000000000000000,5279.469020009883025,2374.445182272923830
31,171300.000000000000000,3743.801255107975066,1701.801093956092927
