FID,COUNT,MEAN,STD
0,1544013.000000000000000,5688.095966808565208,2899.102128476912640
1,658542.000000000000000,7803.493087760585695,1940.722299052971721
2,444931.000000000000000,6891.961429974584462,1473.911798852462880
3,1236816.000000000000000,3572.341100050461591,1740.996501176531638
4,1668905.000000000000000,5151.699298042694863,2437.981027495412491
5,1642886.000000000000000,4800.977459178435311,1570.533240310643350
6,528658.000000000000000,2245.915064181368052,1454.996553433388499
7,390065.000000000000000,4124.957212259528205,1755.725453418238885
8,604048.000000000000000,8004.483009628278523,1308.484186784937947
9,88967.000000000000000,8459.561983656805751,1819.665243126015412
10,1039903.000000000000000,8151.450479515841835,1454.108002318037052
11,11565088.000000000000000,7654.044206667695107,1355.072736476567115
12,848454.000000000000000,8140.488869166802033,1685.738774227775593
13,3132364.000000000000000,7448.901064499536005,1520.811441062871154
14,1368474.000000000000000,7677.518430017880746,1791.730597635867070
15,945034.000000000000000,4071.283049075482722,2064.678587451975545
16,9690791.000000000000000,2269.421904775430448,1274.746698590298138
17,871800.000000000000000,6074.201740078012335,2900.808747393316935
18,358909.000000000000000,7463.153417718700439,1777.477547644637525
19,2192332.000000000000000,3727.277151909555869,2694.527452384477328
20,2847479.000000000000000,6351.712953809503233,1922.222011046165562
21,787913.000000000000000,2371.529248787613142,2427.631174061080856
22,27684528.000000000000000,7314.606881540675204,1984.216169021541873
23,541735.000000000000000,3969.806673004265576,3484.172445646370306
24,16739009.000000000000000,6858.963651312981710,2973.242613906366387
25,1375385.000000000000000,4373.560536867769770,3427.132480039652819
26,388199.000000000000000,5976.319444408614800,2657.074506286191081
27,2463530.000000000000000,7438.906975356395378,2485.279444935862557
28,15607165.000000000000000,6764.641058321511991,2814.920222174648643
29,2138707.000000000000000,3660.519029955878977,3356.763323302517620
30,3687374.000000000000000,4930.841475532449294,2104.454686510321153
31,171757.000000000000000,3916.779263727291891,1621.557299589712557
