FID,COUNT,MEAN,STD
0,1292690.000000000000000,4089.446713442498094,2913.247376837371576
1,657276.000000000000000,7025.520259373574845,2508.429506899460648
2,445237.000000000000000,6986.037285760223313,1357.316402092113549
3,1234245.000000000000000,3046.934045509605767,1461.788706421312781
4,1669172.000000000000000,4814.113111770338946,2391.272901201932655
5,1641753.000000000000000,4820.862065121784326,1370.579572494041940
6,528665.000000000000000,2020.565656890463970,1299.669285345028129
7,390073.000000000000000,3857.412935527469017,1713.517094596148354
8,604566.000000000000000,7612.080422981112861,1322.602230775420367
9,88062.000000000000000,8043.618007767297968,2160.740378461978253
10,1037316.000000000000000,7548.102961874673383,2116.565494506098275
11,11583602.000000000000000,6949.661190275759509,1654.365095231814621
12,848532.000000000000000,8159.593297601090853,1503.552752651447690
13,3132471.000000000000000,7427.526824350543393,1432.946364705587712
14,1372141.000000000000000,7162.676912212440584,1981.247004503440849
15,954148.000000000000000,3609.528510252121123,2097.502625471003284
16,9710162.000000000000000,2085.736109449062951,1165.442672566733336
17,869437.000000000000000,5940.056320354432501,2833.594771434800350
18,360911.000000000000000,7788.020570168271661,1771.461139933278673
19,2124007.000000000000000,3043.052915550595117,2655.990739001746078
20,2844294.000000000000000,6475.807246719228715,1792.459686183125541
21,785122.000000000000000,1479.913312835471061,1870.415225692335753
22,27705973.000000000000000,7218.656106500800888,1975.652703955487596
23,527628.000000000000000,3725.522043940053663,3255.188258731526730
24,16695054.000000000000000,5985.476439968327213,3230.814657595837161
25,1376382.000000000000000,4083.413996259841497,3368.161164159921100
26,386271.000000000000000,5882.560435549173235,2738.918596422861356
27,2451212.000000000000000,6640.480193471687016,2813.066952695317923
28,15600476.000000000000000,6688.102032079071250,2832.369793904738344
29,2069462.000000000000000,3098.589584635967640,3252.528780304953216
30,3681618.000000000000000,5348.646031989329458,2296.577171832979730
31,172166.000000000000000,4762.553849191925110,1914.355435595320614
