FID,COUNT,MEAN,STD
0,1486502.000000000000000,4791.035074961166174,3117.520955846736342
1,662950.000000000000000,7612.726905498117958,1901.650472418657955
2,445202.000000000000000,7191.266858639597558,1340.680406901454489
3,1234816.000000000000000,3674.333341161815952,1778.667821396272529
4,1666879.000000000000000,5165.712429636369961,2382.107754465453127
5,1641305.000000000000000,5480.707131215791378,1462.005383328758398
6,528876.000000000000000,2256.135871168269205,1444.122728093166870
7,390076.000000000000000,3699.608204555017892,1717.140480600213550
8,603975.000000000000000,8047.724399188776260,1339.765657169484939
9,89383.000000000000000,7561.652025552951272,2577.716120976880575
10,1040513.000000000000000,7716.193637176986158,1893.640988711645832
11,11580236.000000000000000,7769.224970976461009,1347.784464936525410
12,840936.000000000000000,8035.621808318291187,1560.032397216068375
13,3129073.000000000000000,6842.839605212237984,1520.063125307769269
14,1379726.000000000000000,7645.135115957720700,1846.408906338609313
15,926293.000000000000000,3670.302541420480793,2281.876804154332149
16,9588402.000000000000000,2162.354624159471769,1284.010317291195179
17,855247.000000000000000,6306.508897429642275,2787.139758045441795
18,358748.000000000000000,8204.416021831497346,1444.385809024758601
19,2077821.000000000000000,3598.784826026897008,2799.046915674833144
20,2844737.000000000000000,7553.057942087353695,1503.725070109900344
21,784198.000000000000000,2291.931141114870570,2197.150171760959438
22,27700858.000000000000000,7440.512240595714502,1876.159924188875948
23,541414.000000000000000,4023.549719807782367,3275.078076372809846
24,16811299.000000000000000,5982.159174552938566,3230.701237872557158
25,1393487.000000000000000,5433.697628323683603,3256.364626467347534
26,388809.000000000000000,6874.047727804536407,2310.242775936274029
27,2457124.000000000000000,7075.829809565802861,2680.625545135721495
28,15614616.000000000000000,7015.745506325393762,2579.844095911783825
29,2175758.000000000000000,4483.282103064880175,3396.689140140109885
30,3684768.000000000000000,5783.791547798969987,2068.833979690080014
31,171558.000000000000000,5140.680446263037084,1949.924146260652606
