FID,COUNT,MEAN,STD
0,1461432.000000000000000,4677.552571724188056,3242.900757933065051
1,660981.000000000000000,7643.606198967801902,1989.165123490001406
2,444656.000000000000000,7248.613190871152256,1321.341729619848138
3,1235758.000000000000000,3657.072335360156103,1707.776617069105669
4,1667063.000000000000000,5103.919289193021541,2408.287807505913406
5,1639742.000000000000000,6187.095707739333193,1470.007782034944285
6,527606.000000000000000,2249.732870740683666,1462.522174555954962
7,390012.000000000000000,4589.602253264029059,2005.850978843257735
8,603806.000000000000000,8340.976590162990760,1352.706006689791138
9,88399.000000000000000,7814.647699634650962,2396.820962020784464
10,1038725.000000000000000,7802.143909119332420,1851.089860452091671
11,11561202.000000000000000,7867.585942880405128,1363.482215222041987
12,848335.000000000000000,8260.921717246139451,1828.171245066861502
13,3129784.000000000000000,7942.454293970537037,1346.418919925363298
14,1377239.000000000000000,7152.905778880530306,2200.166885943416673
15,950624.000000000000000,3818.692439913210819,2206.270983497567613
16,9745806.000000000000000,2326.861461740604682,1476.923658979086440
17,871029.000000000000000,6061.836930802564893,2930.313850893956442
18,357817.000000000000000,7540.630422813937912,1908.550510034076979
19,2209143.000000000000000,3481.769343134362316,2639.924629443598860
20,2846250.000000000000000,5968.593725428067046,2048.093312969058388
21,791201.000000000000000,1677.570432797736885,1818.255236260850552
22,27634910.000000000000000,7264.548272927171638,2031.468346308236960
23,538903.000000000000000,4245.965119882522231,3389.743243593326952
24,16792790.000000000000000,6355.816034500665410,3177.469951017191306
25,1392214.000000000000000,5365.217158425411071,3469.394516322106028
26,387747.000000000000000,6740.398097212848370,2428.337959072317517
27,2441624.000000000000000,6299.610548962478788,3136.749566239177966
28,15533906.000000000000000,6684.155392210821446,2883.213365555394830
29,2152474.000000000000000,4252.312422356802017,3411.700305826232579
30,3685555.000000000000000,5734.390497767736633,2037.548347816287560
31,171579.000000000000000,4237.420016435548860,1848.428360814075859
